,well,R2,mse,rmse,mae
0,Well-1,0.6886823179147785,0.06803984367765359,0.2608444817849394,0.21037035803279963
1,Well-2,0.6955542355438564,0.07642394475560854,0.27644881037112196,0.16332025089174396
2,Well-3,-0.6988383180720728,0.42178811252517695,0.6494521633847846,0.5746253859828895
3,Well-4,0.7985058916755721,0.05601929789734476,0.23668396206195458,0.1676684838953152
4,Well-5,0.7634868136946222,0.09445241732701545,0.30733112001067425,0.20529935523377887
5,Well-6,0.48154600259115266,0.14068705253882233,0.3750827275932902,0.25947251082586004
6,Well-7,0.8666199716167579,0.05001628211150788,0.22364320269462223,0.17569930134804598
7,Well-8,0.8729934057863169,0.040590801960532524,0.2014715909515099,0.14610073895521583
8,Well-9,0.3624536946326927,0.33708347416381873,0.5805889028941379,0.38280918998897356
9,Well-10,0.785396284280955,0.6987550545685712,0.8359156982426943,0.7065061685624812
10,Well-11,0.28212647734893626,6.210610800451558,2.492109708751113,0.8777214900988369
11,Well-12,-0.3931909000692648,0.4133250886994421,0.6429036387355745,0.3284805935425378
12,Well-13,0.9927617321985253,0.016948559821128695,0.13018663457178964,0.10144292482188046
13,Well-14,0.8932046907064889,0.03948912904998491,0.19871871841873606,0.1369276342257648
14,Well-15,0.5300867903244704,0.21351471420680349,0.46207652418923373,0.26673269818086587
15,Well-16,-2.6248224373613476,0.721668661536904,0.8495108366212311,0.7757939581356137
