,well,R2,mse,rmse,mae
0,Well-1,0.8442214009952219,0.03912085638669141,0.1977899299425818,0.14105263221991463
1,Well-2,0.6512392401864433,0.08999437147136999,0.2999906189722772,0.20338134407437491
2,Well-3,0.4230859977362744,0.18303631096151227,0.42782743128685924,0.34986654612939677
3,Well-4,0.8099156815982067,0.04994141920220024,0.22347576871374722,0.16766291336274466
4,Well-5,0.8163841460207151,0.07985978779512785,0.2825947412729541,0.192619492794986
5,Well-6,0.46651616710509547,0.14138367192553994,0.3760102018902412,0.25899879670478915
6,Well-7,0.8227419836894323,0.06785120063089263,0.26048263019036916,0.21805333849409939
7,Well-8,0.8694069666724278,0.04269636348679261,0.20663098384993622,0.1502374099229984
8,Well-9,0.5459781754336697,0.24371373786815123,0.4936737159988885,0.23794452362776924
9,Well-10,0.7557477587847843,0.8419511669021015,0.9175789703900703,0.7949751231592022
10,Well-11,0.13071644230113566,5.6622940288095585,2.3795575279470675,0.9393460287174707
11,Well-12,-0.4447401186969342,0.4284862696497289,0.6545886262758687,0.35588068751661994
12,Well-13,0.9097844770289374,0.198325330505989,0.44533732215702404,0.4367708430043969
13,Well-14,0.8589534221219092,0.05075392830721806,0.22528632516692632,0.1562092124688233
14,Well-15,0.5272168736656502,0.22309627721817155,0.4723306862973986,0.27848305644004007
15,Well-16,-1.542946902670618,0.5222511429720094,0.7226694562329373,0.6269119921760379
